Hash,File,Key,Value
19fc516eabaf0832a4e605ff97fb1f03,Locale.xaml,Locale.CS,Čeština (v0.9)
fc68304bb3ea3302585d97e3813017e1,Locale.xaml,Locale.DA,Dansk (v0.9)
117ff021388e78254f6e5ef73c6a54f2,Locale.xaml,Locale.DE,Deutsch (v1.1)
61e4f436caa5e7200b664d5ebbdf011b,Locale.xaml,Locale.EL,Ελληνική (v0.9)
7e6ab6888ca1e3bedccc52f230e156e6,Locale.xaml,Locale.EN,English (v1.3)
9d36dfe4d9ef40eaa5adae241e44f383,Locale.xaml,Locale.ES,Español (v1.1)
78540c27574dadd7850fe6ca098a55ae,Locale.xaml,Locale.FR,Français (v1.1)
6e7104eba13ebb98195468b87ac15da9,Locale.xaml,Locale.HI,हिन्दी (v0.9)
357ca2e5ff6e3ce6293444f31fc50963,Locale.xaml,Locale.ID,Indonesia (v0.8)
1f4c2e2292b52cbfd4889f0333e18072,Locale.xaml,Locale.IT,Italiano (v0.9)
942dcb492b3aadbb93330ae2ddece7e2,Locale.xaml,Locale.JA,日本語 (v0.9)
f01bbd710f2fe1b42be9336bf3bffeab,Locale.xaml,Locale.KO,한국어 (v0.9)
32410aa29ca370b87b66258b35381eb4,Locale.xaml,Locale.MS,Melayu (v0.8)
1ae1c6ceb13939460e9cc6c8c06e32f8,Locale.xaml,Locale.NB,Norsk (v0.9)
dfbc78f7082b1d29a5409f662906bc8b,Locale.xaml,Locale.NL,Nederlands (v0.9)
35b3a4746e0b5e3179189a4a9129ce24,Locale.xaml,Locale.PL,Polski (v1.1)
63ad0c086fbfec69c0a28e3e6275e0d2,Locale.xaml,Locale.PT,Português (v0.8)
31d3a32b31023fa2971b8fc1c2027608,Locale.xaml,Locale.RO,Română (v0.9)
c91bd1081e0e96a0c43b1683256570fa,Locale.xaml,Locale.RU,Русский (v0.9)
7176393a16eba57506b91f23f8f16e79,Locale.xaml,Locale.SV,Svenska (v0.9)
d3787e1985f9e40892f18f45882f2f92,Locale.xaml,Locale.TR,Türkçe (v1.3)
6ed77561ea69fe9acd8a2bc7116808b6,Locale.xaml,Locale.UK,Українська (v0.9)
38117079207bf264021de2b5b37e7515,Locale.xaml,Locale.ZH,中文 (v0.9)
