Hash,File,Key,Value
2554be0a35d617f1868902a06ee90cc2,Portal\Portal.xaml,Portal.Release,Pre-Release
510e60952e3a192da9b7aea1defe22cd,Portal\Portal.xaml,Portal.Copyright,Sucrose is copyright © 2024 Sucrose Contributors
2110612f5b355281bfa2001b06b381f0,Portal\Portal.xaml,,
023b01fc0ce32a37b160565df601f547,Portal\Portal.xaml,Portal.Quoting0,Love conquers all
556affcecf9f91dc4f4b43ee3454fc2e,Portal\Portal.xaml,Portal.Quoting1,La vida es bella
c9beb7c9ae6903991c0552e23483c5dc,Portal\Portal.xaml,Portal.Quoting2,Carpe diem
d16850210305db74e90d6b57df8adfd0,Portal\Portal.xaml,Portal.Quoting3,Hakuna matata
b618987be0a46f2d1a7de7adfe49e68e,Portal\Portal.xaml,Portal.Quoting4,Joie de vivre
e990361bcd1b14d89c26951fcf0481d9,Portal\Portal.xaml,Portal.Quoting5,C'est la vie
5a72fba867a0b1f58b4340abc89512f5,Portal\Portal.xaml,Portal.Quoting6,Hasta la vista
95f4804c1a22aa1c69c45512fdb371d5,Portal\Portal.xaml,Portal.Quoting7,In vino veritas
ac89040bd970940b2dab461506d1edf6,Portal\Portal.xaml,Portal.Quoting8,Hakuna mawazo
c833b299fe6ab4a2b057f47195f81adf,Portal\Portal.xaml,Portal.Quoting9,Seishin to nihon
6bfa0e80eb5bf845350e3c5ff1092f9a,Portal\Portal.xaml,Portal.Quoting10,Per aspera ad astra
95803380c7424c3b98039875e5c5c7d4,Portal\Portal.xaml,Portal.Quoting11,Amor vincit omnia
f59c2acfbacf240581b76244d3a95563,Portal\Portal.xaml,Portal.Quoting12,Carpe noctem
c220d62f9b8be4661b3626865b25648c,Portal\Portal.xaml,Portal.Quoting13,L'esprit de l'escalier
594f9fd89f3443a9227bc26ecc4e64ee,Portal\Portal.xaml,Portal.Quoting14,Schadenfreude
340689c4de1593a9c15cec3eb036b450,Portal\Portal.xaml,Portal.Quoting15,Vivo ergo sum
1cef260aa09d1ef7f45dd708abe0f944,Portal\Portal.xaml,Portal.Quoting16,Il dolce far niente
02cca9e2bea130d3550977fc79d5975c,Portal\Portal.xaml,Portal.Quoting17,Sisu
421c877ef14e73fd31612a2c6650ae48,Portal\Portal.xaml,Portal.Quoting18,Saudade
d58dca877944a6b3ddb9f149851ab9f2,Portal\Portal.xaml,Portal.Quoting19,Namaste
f67396692b671837ce5700abd46a2f56,Portal\Portal.xaml,Portal.Quoting20,"Que sera, sera"
76db4d6ae051d1ae7e29a3566edcd6dc,Portal\Portal.xaml,Portal.Quoting21,Eureka
83987235d5a19fbb766677ff618f229c,Portal\Portal.xaml,Portal.Quoting22,"Cogito, ergo sum"
3442c4154ac2fa462f941c29bf1a0939,Portal\Portal.xaml,Portal.Quoting23,"Veni, vidi, vici"
034e9a4e3dce0b508f6fe2ed89c03a22,Portal\Portal.xaml,Portal.Quoting24,Hakuna matata
0209dedfb1bf257986f225a6f5e52977,Portal\Portal.xaml,Portal.Quoting25,Hasta la vista
54154d822c56d3f4f366dc2e84b50502,Portal\Portal.xaml,Portal.Quoting26,Ad astra per aspera
007ae4a7897afb04a0118e1181d50799,Portal\Portal.xaml,Portal.Quoting27,Live and let live
8dd6fa42ccc68c6984fe077c7fc13852,Portal\Portal.xaml,Portal.Quoting28,Carpe noctem
72e89c39818293774c46d19e9f415981,Portal\Portal.xaml,Portal.Quoting29,In omnia paratus
3fc2cf8172b03abc05b5f844a5b04064,Portal\Portal.xaml,Portal.Quoting30,"Söz gümüşse, sükût altındır"
efe602d5de26dbfb028b13040f803ad0,Portal\Portal.xaml,Portal.Quoting31,Damlaya damlaya göl olur
49ddf6b36854f725531d0ab06770430f,Portal\Portal.xaml,Portal.Quoting32,"Sakla samanı, gelir zamanı"
8a079338f317a51dc7f969960db9402c,Portal\Portal.xaml,Portal.Quoting33,Görünen köy kılavuz istemez
a235c368fc36bb78247b839e87661dd4,Portal\Portal.xaml,Portal.Quoting34,Kulak veren göz arar
971a712a328031d122edcaf4fdd6d10d,Portal\Portal.xaml,Portal.Quoting35,Sabrın sonu selamettir
fc916ce428c0fb57ae08fb8da93dc5e7,Portal\Portal.xaml,Portal.Quoting36,İstikbal göklerdedir
7f320b82730765572a19bc76ef9ca983,Portal\Portal.xaml,Portal.Quoting37,Hiçbir şey insan kadar değerli değildir
c8c707d42748d8d4b710b28edd2b7107,Portal\Portal.xaml,Portal.Quoting38,Hayatta en hakiki mürşit ilimdir
f453e97bfb4dd76a8677f44789245bc2,Portal\Portal.xaml,Portal.Quoting39,"Yurtta sulh, cihanda sulh"
9bd1a52ec85dca1cd8bb9b3ce4f0572d,Portal\Portal.xaml,Portal.Quoting40,"Where there's a will, there's a way"
a394385be1d6c7d4286373d288603446,Portal\Portal.xaml,Portal.Quoting41,Actions speak louder than words
53ea0d2e9715018e9e12a2aece62776d,Portal\Portal.xaml,Portal.Quoting42,L'art de vivre
c932e9f93cb9c67f36f33ee67ad021a9,Portal\Portal.xaml,Portal.Quoting43,La vida es un sueño
381acc67bfd9645d8867cec9a83efab8,Portal\Portal.xaml,Portal.Quoting44,木漏れ日
0ffe6dcdb7b4cdd49a1d4046468b3604,Portal\Portal.xaml,Portal.Quoting45,Gemütlichkeit
c5c1bcafb3d9c008d36157e9876f68a9,Portal\Portal.xaml,Portal.Quoting46,Fingerspitzengefühl
5db9fcaaf81d598311803d9ebca7e2d5,Portal\Portal.xaml,Portal.Quoting47,"Dove c'è amore, c'è vita"
dcea4c8bb563a2a9acd93318906b249e,Portal\Portal.xaml,Portal.Quoting48,Терпение и труд всё перетрут
b4d3b700f3ec8f832d3a1e7680f2bb35,Portal\Portal.xaml,Portal.Quoting49,千里之行，始于足下
dd4c774a80786df3f91086d4dd3f33b1,Portal\Portal.xaml,Portal.Quoting50,Γνώσις είναι δύναμη
b9d1a04120c0560e8bfef8b62f092092,Portal\Portal.xaml,Portal.Quoting51,Η γνώση είναι φως
ce0f194c3311086b8a5f353104805fba,Portal\Portal.xaml,Portal.Quoting52,Η ελπίδα πεθαίνει τελευταία
b0780c5a6db0d1cdf731f0666a916f02,Portal\Portal.xaml,Portal.Quoting53,Probieren geht über Studieren
fe6953c953f7bd6d20a79208f8fc35a9,Portal\Portal.xaml,Portal.Quoting54,Freiheit ist das höchste Gut
21af09685e4f3aa843488292de78209f,Portal\Portal.xaml,Portal.Quoting55,吃一堑，长一智
84bc0f54a56b50fdcb7c73660df9ecc1,Portal\Portal.xaml,Portal.Quoting56,Aller Anfang ist schwer
aef59c9740272af6bc2dc826d04621fc,Portal\Portal.xaml,Portal.Quoting57,七転び八起き
36c1cd647aad22b2371431a80f08d748,Portal\Portal.xaml,Portal.Quoting58,一寸光阴一寸金，寸金难买寸光阴
e5e5153df4c36dc47a303489a17822f5,Portal\Portal.xaml,Portal.Quoting59,Gu brath
02e0847688c72839f48fd1670a30e3a7,Portal\Portal.xaml,Portal.Quoting60,"Man skal kravle, før man går"
9ade31fd3fb7638b713caa1ed3ac0cb1,Portal\Portal.xaml,Portal.Quoting61,Ní neart go cur le chéile
bcd773e79c3de1a99f99719ae2fab609,Portal\Portal.xaml,Portal.Quoting62,Lumturia nis me uen tande
bc32b32c5164c9e0ec95b6a366f7e86f,Portal\Portal.xaml,Portal.Quoting63,Þetta reddast
517af37320dc10590c6ee5e5d5537d2a,Portal\Portal.xaml,Portal.Quoting64,Gleði er ekki að drepa
